date,AWND,PRCP,TMAX,TMIN,daily_consumption
12/16/2006,2.5,0,10.6,5,1209.176
12/17/2006,2.6,0,13.3,5.6,3390.46
12/18/2006,2.4,0,15,6.7,2203.826
12/19/2006,2.4,0,7.2,2.2,1666.194
12/20/2006,2.4,0,7.2,1.1,2225.748
12/21/2006,2.3,0,12.2,3.3,1716.624
12/22/2006,2.3,11.9,9.4,3.9,2341.338
12/23/2006,3,19.8,15,8.9,4773.386
12/24/2006,3.4,0,11.1,6.1,2550.012
12/25/2006,2.2,9.4,7.2,3.9,2743.12
12/26/2006,3.3,2,11.7,6.1,3934.11
12/27/2006,3.4,0,6.1,3.3,1528.76
12/28/2006,2.3,0,8.9,2.2,2072.638
12/29/2006,2.1,0,8.9,2.8,3174.392
12/30/2006,2.1,0,8.3,1.1,2789.302
12/31/2006,2.1,0,7.2,0.6,3494.196
1/1/2007,1.7,38.6,13.3,7.2,2749.004
1/2/2007,3.8,0,10,5,1269.236
1/3/2007,2.6,0,11.1,3.3,1014.054
1/4/2007,3.6,0,13.3,6.1,3259.412
1/5/2007,2.6,0.8,16.7,11.7,2713.364
1/6/2007,3.4,0.3,22.2,12.2,1508.378
1/7/2007,2.7,4.3,12.2,6.7,2447.62
1/8/2007,3.6,31.8,13.3,3.3,2241.36
1/9/2007,3.1,0,6.7,1.1,1869.054
1/10/2007,3.6,0,2.2,-1.7,2154.8
1/11/2007,2.6,0,3.3,-3.3,2255.194
1/12/2007,3.4,0.3,8.9,2.8,1461.296
1/13/2007,2.6,1.5,13.3,7.2,3186.814
1/14/2007,1.9,2.3,7.8,5,3007.816
1/15/2007,1.7,1.5,13.9,4.4,2148.678
1/16/2007,4.3,0,12.8,-5.6,1686.404
1/17/2007,2.9,0,-1.7,-7.2,2847.688
1/18/2007,1.4,2.3,2.8,-3.9,1821.462
1/19/2007,3.4,2.3,5,-0.6,1480.44
1/20/2007,5.1,0.3,0,-6.1,3133.732
1/21/2007,1.6,0,-1.7,-7.2,3407.262
1/22/2007,0.8,0,0.6,-2.8,2180.494
1/23/2007,2.8,0,2.2,-2.2,1777.64
1/24/2007,2.6,0,4.4,0,2987.854
1/25/2007,2.2,0.3,1.1,-9.4,1596.344
1/26/2007,1,0,-5.6,-12.8,1617.972
1/27/2007,1.7,0.3,5,-6.7,2044.072
1/28/2007,1.7,1.3,5,-1.1,3090.204
1/29/2007,3.9,0.3,-1.1,-6.1,1982.664
1/30/2007,2.2,2.5,1.7,-6.1,1707.798
1/31/2007,3.6,1.5,0.6,-3.9,2363.752
2/1/2007,2.4,0,1.1,-3.3,1824.76
2/2/2007,1.5,5.8,3.3,0,1667.736
2/3/2007,3.9,0,1.7,-5,4029.722
2/4/2007,4.5,0,-2.2,-8.3,3595.94
2/5/2007,5,0,-7.8,-13.3,1645.28
2/6/2007,4,0,-3.9,-11.7,1273.48
2/7/2007,3.4,0,-3.9,-11.1,2328.018
2/8/2007,3.8,0,-2.2,-10,1801.414
2/9/2007,4.8,0,0,-7.8,1620.198
2/10/2007,2.9,0,0.6,-5,2829.328
2/11/2007,2.6,0,0.6,-7.2,3571.228
2/12/2007,2.6,0,4.4,-2.2,1877.61
2/13/2007,3.6,0.8,0,-5.6,1414.546
2/14/2007,6.2,23.9,-1.7,-8.9,2498.672
2/15/2007,4.7,0,-4.4,-9.4,1985.346
2/16/2007,4.4,0,-1.7,-10,1702.528
2/17/2007,2.9,0,1.7,-7.2,2076.912
2/18/2007,3.4,0,1.1,-7.8,3829.762
2/19/2007,4.3,0,-1.1,-11.1,2186.614
2/20/2007,2.7,2.5,8.3,-1.7,3149.928
2/21/2007,1.3,0.3,9.4,3.9,2072.874
2/22/2007,2.4,5.3,7.2,2.2,3369.478
2/23/2007,5.2,0,3.9,-5.6,1313.48
2/24/2007,4.3,0,5.6,-6.7,714.922
2/25/2007,1.8,4.8,2.8,-4.4,501.74
2/26/2007,2.5,7.1,2.2,-1.1,568.484
2/27/2007,0.9,0,6.1,1.1,518.112
2/28/2007,2.2,0,7.8,1.7,520.774
3/1/2007,2,3.6,7.8,0.6,517.564
3/2/2007,3.2,61.2,14.4,1.7,515.688
3/3/2007,2.1,0,15,4.4,819.122
3/4/2007,3.9,0,4.4,0.6,2090.7
3/5/2007,4.5,0,5,-6.1,2660.332
3/6/2007,5.5,0,-6.1,-11.7,1246.5
3/7/2007,1.8,1,-5,-11.1,2375.206
3/8/2007,3.3,0,1.1,-7.8,1572.132
3/9/2007,2,0,1.7,-10.6,1272.612
3/10/2007,2.1,1.8,13.9,0,2484.712
3/11/2007,3,4.1,10,3.3,3480.636
3/12/2007,1.7,0,13.9,2.2,1950.668
3/13/2007,1.3,0,13.9,6.1,1290.144
3/14/2007,1.6,0,21.1,7.8,1793.364
3/15/2007,2.8,8.1,19.4,2.2,1884.814
3/16/2007,5.5,51.6,2.2,-3.3,1702.054
3/17/2007,3.9,0.8,3.3,-3.9,2028.09
3/18/2007,4.3,0,3.9,-2.8,2371.046
3/19/2007,2.9,0,6.1,-1.1,2152.518
3/20/2007,3.4,0,10,0.6,2086.228
3/21/2007,3,0,4.4,-3.3,2142.092
3/22/2007,2.9,0.5,19.4,4.4,1454.978
3/23/2007,1.6,2.3,16.1,10.6,1309.008
3/24/2007,2.6,0.8,12.2,5.6,2968.43
3/25/2007,2.6,0,12.2,3.3,3336.124
3/26/2007,2.6,0,12.2,3.9,1416.082
3/27/2007,2.4,0.3,25.6,10,1105.14
3/28/2007,2.6,0,18.3,7.2,2333.898
3/29/2007,2.7,0,13.9,3.3,1590.406
3/30/2007,1.7,0,20,3.9,1402.394
3/31/2007,2.2,0,15.6,6.1,3509.51
4/1/2007,2.4,1.5,10,5.6,2785.952
4/2/2007,1.9,1.5,13.3,5.6,1960.778
4/3/2007,2.1,0,17.2,5.6,1642.82
4/4/2007,3.2,21.6,5.6,4.4,2051.868
4/5/2007,4.1,0,6.7,1.1,1844.078
4/6/2007,2.4,0,5.6,-0.6,1601.14
4/7/2007,2.8,0,6.1,-0.6,1553.924
4/8/2007,3.7,0,5,-1.1,1608.816
4/9/2007,2.9,0,9.4,0,1000.92
4/10/2007,2.7,0,10.6,0.6,777.364
4/11/2007,2.1,0,10,2.2,887.482
4/12/2007,3.6,35.1,6.7,3.9,537.706
4/13/2007,4.5,0,9.4,5.6,551.022
4/14/2007,2.5,0,13.3,4.4,554.268
4/15/2007,3.2,192.3,12.8,4.4,726.164
4/16/2007,3.3,22.9,8.9,3.3,952.39
4/17/2007,4.2,1,10.6,5.6,1223.734
4/18/2007,3.3,0,10.6,5.6,998.246
4/19/2007,2.3,0.3,16.1,7.2,1028.658
4/20/2007,2.4,0,21.7,6.7,822.58
4/21/2007,1,0,26.1,7.2,1673.656
4/22/2007,1.4,0,25.6,12.8,2233.714
4/23/2007,2.8,0,30,14.4,1054.566
4/24/2007,2.7,0,24.4,14.4,1032.1
4/25/2007,3.1,3.6,19.4,8.3,1264.162
4/26/2007,2.1,0,16.1,7.8,1275.466
4/27/2007,1.4,51.8,13.3,8.3,1094.332
4/28/2007,1.8,0,21.7,12.2,22.738
4/30/2007,3.3,0,26.7,11.1,420.822
5/1/2007,1.6,8.1,21.7,10.6,1663.858
5/2/2007,1.7,2.5,20,10,1003.486
5/3/2007,1.3,0,22.2,10.6,1090.238
5/4/2007,1.7,0,21.7,10,998.128
5/5/2007,2,0,22.8,10.6,1563.052
5/6/2007,3.3,0,17.2,7.8,2102.104
5/7/2007,1.8,0,19.4,6.7,1643.664
5/8/2007,1.1,0,22.2,8.3,1789.292
5/9/2007,2.2,0,28.3,13.9,1665.736
5/10/2007,2,0,25,16.1,707.884
5/11/2007,0.8,4.8,25,15.6,979.154
5/12/2007,2.5,4.6,23.3,11.7,1441.566
5/13/2007,3,0,20,9.4,1634.738
5/14/2007,2.5,0,21.1,9.4,1467.782
5/15/2007,3.3,0,28.9,13.3,904.392
5/16/2007,2.6,21.1,29.4,15,1692.944
5/17/2007,2,0,20.6,12.2,1231.816
5/18/2007,3.2,0,12.2,8.9,1631.53
5/19/2007,1.7,5.3,13.9,10,1429.442
5/20/2007,2.9,0.5,23.9,10.6,1968.328
5/21/2007,1.8,0,21.7,11.7,1120.062
5/22/2007,1.8,0,24.4,11.7,1132.852
5/23/2007,1.6,0,23.3,12.8,1464.936
5/24/2007,2.8,0,28.9,14.4,1154.388
5/25/2007,2,0,32.2,17.8,1614.22
5/26/2007,1.8,0,29.4,21.7,1512.248
5/27/2007,1.5,0.8,30,18.9,2153.808
5/28/2007,1.8,0,28.3,19.4,1637.468
5/29/2007,1.3,0,26.7,16.1,1061.34
5/30/2007,0.8,0,28.9,16.1,1609.866
5/31/2007,2,0,32.8,17.8,938.55
6/1/2007,1.3,0,31.1,17.8,1044.918
6/2/2007,1.7,0,31.7,21.7,1484.362
6/3/2007,2.1,41.1,26.1,17.2,2108.026
6/4/2007,2.4,58.2,21.1,15.6,911.618
6/5/2007,2.7,0,27.2,18.9,1458.892
6/6/2007,2.2,0,21.7,13.3,1693.638
6/7/2007,0.9,0,23.9,12.2,985.002
6/8/2007,1.1,0,29.4,17.8,2148.046
